repo_id,id_contribuidor,data
1226,63823,28-08-2016
1226,63893,07-01-2013
1226,63917,07-03-2014
1226,63957,27-05-2014
1226,64010,23-01-2014
1226,64190,22-06-2012
1226,64449,03-06-2012
1226,64511,06-09-2013
1226,64559,22-11-2012
1226,64868,02-08-2012
1226,65011,05-01-2013
1226,65080,17-08-2015
1226,65362,23-03-2015
1226,65545,03-08-2012
1226,66339,15-03-2013
1226,66785,14-04-2017
1226,66804,14-05-2013
1226,66821,23-08-2013
1226,66873,21-07-2013
1226,66909,05-02-2015
1226,67157,22-05-2013
1226,67244,20-08-2012
1226,67259,05-12-2017
1226,67354,12-02-2014
1226,67696,02-03-2013
1226,67726,17-02-2017
1226,67768,24-01-2014
1226,68090,13-08-2012
1226,68391,07-11-2015
1226,68403,03-05-2012
1226,68523,05-12-2013
1226,69731,21-05-2012
1226,69744,07-09-2012
1226,69877,04-10-2014
1226,69902,30-09-2013
1226,70081,13-12-2013
1226,70320,24-11-2016
1226,71051,18-05-2012
1226,71450,19-12-2012
1226,71520,30-07-2015
1226,71795,25-11-2014
1226,72225,06-10-2017
1226,72276,14-08-2012
1226,72279,25-10-2013
1226,72396,15-09-2014
1226,72650,19-09-2013
1226,72694,25-10-2012
1226,72776,02-04-2013
1226,72808,23-11-2012
1226,73117,04-11-2012
1226,73147,03-01-2018
1226,73385,10-07-2016
1226,73638,11-04-2013
1226,73897,23-05-2017
1226,74013,25-01-2013
1226,74109,28-04-2012
1226,74447,30-01-2013
1226,74503,30-06-2016
1226,74567,12-09-2013
1226,74711,09-12-2012
1226,75268,14-04-2014
1226,75278,23-02-2013
1226,75392,15-04-2014
1226,75456,29-04-2014
1226,75627,13-02-2013
1226,75656,09-01-2013
1226,75978,18-09-2012
1226,76086,13-04-2014
1226,76167,02-12-2015
1226,76416,30-10-2014
1226,76438,15-06-2012
1226,76496,15-11-2014
1226,77201,16-02-2015
1226,77298,14-04-2019
1226,77303,10-12-2013
1226,77313,11-09-2015
1226,77340,25-04-2014
1226,77366,14-06-2018
1226,77387,09-11-2015
1226,77405,16-05-2014
1226,77444,29-12-2014
1226,77458,24-11-2013
1226,77523,23-08-2013
1226,77671,23-02-2013
1226,77734,25-09-2014
1226,77745,30-10-2018
1226,77925,04-11-2014
1226,77955,18-04-2015
1226,78689,07-05-2012
1226,78807,13-09-2012
1226,79364,08-03-2013
1226,79431,21-06-2013
1226,79591,20-09-2018
1226,79871,28-09-2012
1226,80120,15-11-2016
1226,80264,13-12-2014
1226,80589,15-02-2014
1226,80751,22-01-2017
1226,80995,16-02-2013
1226,81027,24-07-2012
1226,81804,04-11-2012
1226,82164,09-04-2015
1226,82730,04-09-2012
1226,84171,04-07-2012
1226,84363,15-11-2014
1226,85110,27-03-2017
1226,85353,03-06-2014
1226,85423,11-11-2018
1226,85572,26-02-2013
1226,85581,21-02-2017
1226,86877,11-04-2017
1226,87363,23-02-2013
1226,87659,10-06-2014
1226,88540,21-11-2013
1226,89308,18-08-2017
1226,89505,10-03-2015
1226,89998,08-09-2014
1226,90233,09-09-2014
1226,90331,05-02-2016
1226,90333,28-11-2012
1226,90454,01-12-2013
1226,90463,07-05-2015
1226,91230,18-05-2013
1226,91242,06-09-2013
1226,91266,23-02-2013
1226,91272,08-06-2012
1226,91274,10-06-2015
1226,91300,26-09-2016
1226,91307,01-01-2018
1226,91312,30-06-2013
1226,91320,17-08-2013
1226,91383,14-05-2012
1226,91786,23-09-2017
1226,92035,09-02-2015
1226,92158,27-02-2013
1226,92311,19-05-2013
1226,92548,19-08-2012
1226,92655,13-12-2015
1226,92734,02-09-2013
1226,92811,24-05-2016
1226,93074,24-05-2017
1226,93554,21-01-2013
1226,94557,02-01-2013
1226,95060,28-07-2013
1226,95461,26-10-2016
1226,95906,16-07-2013
1226,96156,07-10-2014
1226,97149,11-05-2012
1226,97154,01-05-2012
1226,97328,14-12-2017
1226,97382,23-10-2013
1226,97888,14-05-2015
1226,98143,09-08-2017
1226,98166,14-04-2014
1226,98400,21-03-2014
1226,98522,10-06-2014
1226,98741,11-05-2012
1226,98913,03-09-2015
1226,99602,07-06-2012
1226,99675,08-10-2012
1226,99970,03-09-2015
1226,99979,30-07-2013
1226,100077,18-10-2018
1226,100102,22-03-2013
1226,100124,03-07-2014
